,,,"Date : Tuesday, 16 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1097 (84.45 %) ,151057,130946,96801 (73.92 %) ,34145 (26.08 %)
2,BARNALA ,302,300 (99.34 %) ,35127,35000,26466 (75.62 %) ,8534 (24.38 %)
3,BATHINDA ,689,651 (94.48 %) ,105159,99263,67201 (67.70 %) ,32062 (32.30 %)
4,FARIDKOT ,408,397 (97.30 %) ,45745,45025,32905 (73.08 %) ,12120 (26.92 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,29628 (75.26 %) ,9738 (24.74 %)
6,FAZILKA ,712,711 (99.86 %) ,98243,98116,73573 (74.99 %) ,24543 (25.01 %)
7,FIROZPUR ,852,846 (99.30 %) ,80294,79547,58105 (73.04 %) ,21442 (26.96 %)
8,GURDASPUR ,1569,1547 (98.60 %) ,91006,89948,66720 (74.18 %) ,23228 (25.82 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,79390 (72.02 %) ,30845 (27.98 %)
10,JALANDHAR ,1435,1430 (99.65 %) ,130796,130329,101814 (78.12 %) ,28515 (21.88 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,39772 (73.11 %) ,14626 (26.89 %)
12,LUDHIANA ,1581,1531 (96.84 %) ,249352,242165,165751 (68.45 %) ,76414 (31.55 %)
13,MALERKOTLA ,293,292 (99.66 %) ,26943,26933,20341 (75.52 %) ,6592 (24.48 %)
14,MANSA ,496,496 (100 %) ,58325,58325,42069 (72.13 %) ,16256 (27.87 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,50873 (74.28 %) ,17611 (25.72 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,24197 (75.82 %) ,7717 (24.18 %)
17,PATIALA ,1340,1311 (97.84 %) ,123336,119998,88327 (73.61 %) ,31671 (26.39 %)
18,RUPNAGAR ,835,799 (95.69 %) ,46150,44286,35503 (80.17 %) ,8783 (19.83 %)
19,S.A.S NAGAR ,659,656 (99.54 %) ,89812,89667,70435 (78.55 %) ,19232 (21.45 %)
20,SANGRUR ,754,739 (98.01 %) ,71187,69941,52168 (74.59 %) ,17773 (25.41 %)
21,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,32951 (74.40 %) ,11339 (25.60 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,50163 (69.92 %) ,21578 (30.08 %)
23,TARAN TARAN ,784,739 (94.26 %) ,83190,79112,62304 (78.75 %) ,16808 (21.25 %)
,TOTAL ,19574,19105 (97.60 %) ,1906222,1859029,1367457 (73.56 %) ,491572 (26.44 %)
