,,,"Date : Wednesday, 10 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1075 (82.76 %) ,151057,128004,89065 (69.58 %) ,38939 (30.42 %)
2,BARNALA ,302,302 (100 %) ,35127,35127,26038 (74.13 %) ,9089 (25.87 %)
3,BATHINDA ,689,670 (97.24 %) ,105159,102566,69582 (67.84 %) ,32984 (32.16 %)
4,FARIDKOT ,408,392 (96.08 %) ,45745,44266,32052 (72.41 %) ,12214 (27.59 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,29873 (75.89 %) ,9493 (24.11 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,70808 (72.07 %) ,27435 (27.93 %)
7,FIROZPUR ,852,843 (98.94 %) ,80294,79579,55437 (69.66 %) ,24142 (30.34 %)
8,GURDASPUR ,1569,1522 (97.00 %) ,91006,89043,61158 (68.68 %) ,27885 (31.32 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,73571 (66.74 %) ,36664 (33.26 %)
10,JALANDHAR ,1435,1424 (99.23 %) ,130796,129946,97301 (74.88 %) ,32645 (25.12 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,37506 (68.95 %) ,16892 (31.05 %)
12,LUDHIANA ,1581,1543 (97.60 %) ,249352,244289,164102 (67.18 %) ,80187 (32.82 %)
13,MALERKOTLA ,293,292 (99.66 %) ,26943,26901,19611 (72.90 %) ,7290 (27.10 %)
14,MANSA ,496,496 (100 %) ,58325,58325,41728 (71.54 %) ,16597 (28.46 %)
15,MOGA ,607,600 (98.85 %) ,68546,67984,49089 (72.21 %) ,18895 (27.79 %)
16,PATHANKOT ,543,541 (99.63 %) ,31914,31887,23320 (73.13 %) ,8567 (26.87 %)
17,PATIALA ,1340,1309 (97.69 %) ,123336,121460,87809 (72.29 %) ,33651 (27.71 %)
18,RUPNAGAR ,835,829 (99.28 %) ,46150,45845,36923 (80.54 %) ,8922 (19.46 %)
19,S.A.S NAGAR ,659,658 (99.85 %) ,89812,89737,70386 (78.44 %) ,19351 (21.56 %)
20,SANGRUR ,754,736 (97.61 %) ,71187,69976,45805 (65.46 %) ,24171 (34.54 %)
21,SHAHID BHAGAT SINGH ,652,647 (99.23 %) ,44295,44048,33191 (75.35 %) ,10857 (24.65 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,49957 (69.64 %) ,21784 (30.36 %)
23,TARAN TARAN ,784,732 (93.37 %) ,83190,77804,60307 (77.51 %) ,17497 (22.49 %)
,TOTAL ,19574,19086 (97.51 %) ,1906222,1860770,1324619 (71.19 %) ,536151 (28.81 %)
