,,,"Date : Monday, 15 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1105 (85.07 %) ,151057,131756,97432 (73.95 %) ,34324 (26.05 %)
2,BARNALA ,302,300 (99.34 %) ,35127,34928,26384 (75.54 %) ,8544 (24.46 %)
3,BATHINDA ,689,661 (95.94 %) ,105159,102145,68197 (66.76 %) ,33948 (33.24 %)
4,FARIDKOT ,408,398 (97.55 %) ,45745,44611,33103 (74.20 %) ,11508 (25.80 %)
5,FATEHGARH SAHIB ,661,659 (99.70 %) ,39371,39326,29345 (74.62 %) ,9981 (25.38 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,71877 (73.16 %) ,26366 (26.84 %)
7,FIROZPUR ,852,849 (99.65 %) ,80294,79903,58066 (72.67 %) ,21837 (27.33 %)
8,GURDASPUR ,1569,1553 (98.98 %) ,91006,90304,65914 (72.99 %) ,24390 (27.01 %)
9,HOSHIARPUR ,1747,1744 (99.83 %) ,110235,109882,77751 (70.76 %) ,32131 (29.24 %)
10,JALANDHAR ,1435,1429 (99.58 %) ,130796,130186,99933 (76.76 %) ,30253 (23.24 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,39342 (72.32 %) ,15056 (27.68 %)
12,LUDHIANA ,1581,1535 (97.09 %) ,249352,243626,161914 (66.46 %) ,81712 (33.54 %)
13,MALERKOTLA ,293,291 (99.32 %) ,26943,26891,20026 (74.47 %) ,6865 (25.53 %)
14,MANSA ,496,496 (100 %) ,58325,58325,41656 (71.42 %) ,16669 (28.58 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,50096 (73.15 %) ,18388 (26.85 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,23607 (73.97 %) ,8307 (26.03 %)
17,PATIALA ,1340,1317 (98.28 %) ,123336,121780,88288 (72.50 %) ,33492 (27.50 %)
18,RUPNAGAR ,835,829 (99.28 %) ,46150,45830,36762 (80.21 %) ,9068 (19.79 %)
19,S.A.S NAGAR ,659,657 (99.70 %) ,89812,89702,69636 (77.63 %) ,20066 (22.37 %)
20,SANGRUR ,754,742 (98.41 %) ,71187,70306,51655 (73.47 %) ,18651 (26.53 %)
21,SHAHID BHAGAT SINGH ,652,650 (99.69 %) ,44295,44198,33501 (75.80 %) ,10697 (24.20 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,49557 (69.08 %) ,22184 (30.92 %)
23,TARAN TARAN ,784,738 (94.13 %) ,83190,78577,61970 (78.87 %) ,16607 (21.13 %)
,TOTAL ,19574,19170 (97.94 %) ,1906222,1867056,1356012 (72.63 %) ,511044 (27.37 %)
