,,,"Date : Monday, 25 August 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1295 (99.69 %) ,151057,150825,112488 (74.58 %) ,38337 (25.42 %)
2,BARNALA ,302,291 (96.36 %) ,35127,34185,18468 (54.02 %) ,15717 (45.98 %)
3,BATHINDA ,689,675 (97.97 %) ,105159,103205,49183 (47.66 %) ,54022 (52.34 %)
4,FARIDKOT ,408,401 (98.28 %) ,45745,44928,29198 (64.99 %) ,15730 (35.01 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,26832 (68.16 %) ,12534 (31.84 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,65331 (66.50 %) ,32912 (33.50 %)
7,FIROZPUR ,852,847 (99.41 %) ,80294,80011,53037 (66.29 %) ,26974 (33.71 %)
8,GURDASPUR ,1569,1560 (99.43 %) ,91006,90432,61623 (68.14 %) ,28809 (31.86 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,64713 (58.70 %) ,45522 (41.30 %)
10,JALANDHAR ,1435,1429 (99.58 %) ,130796,130253,79242 (60.84 %) ,51011 (39.16 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,32412 (59.58 %) ,21986 (40.42 %)
12,LUDHIANA ,1581,1533 (96.96 %) ,249352,243416,101859 (41.85 %) ,141557 (58.15 %)
13,MALERKOTLA ,293,291 (99.32 %) ,26943,26689,14222 (53.29 %) ,12467 (46.71 %)
14,MANSA ,496,496 (100 %) ,58325,58325,33130 (56.80 %) ,25195 (43.20 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,39604 (57.83 %) ,28880 (42.17 %)
16,PATHANKOT ,543,363 (66.85 %) ,31914,22317,0 (0 %) ,22317 (100 %)
17,PATIALA ,1340,1334 (99.55 %) ,123336,122896,76332 (62.11 %) ,46564 (37.89 %)
18,RUPNAGAR ,835,833 (99.76 %) ,46150,46034,34866 (75.74 %) ,11168 (24.26 %)
19,S.A.S NAGAR ,659,658 (99.85 %) ,89812,89737,62850 (70.04 %) ,26887 (29.96 %)
20,SANGRUR ,754,726 (96.29 %) ,71187,68362,38719 (56.64 %) ,29643 (43.36 %)
21,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,32427 (73.22 %) ,11863 (26.78 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,40338 (56.23 %) ,31403 (43.77 %)
23,TARAN TARAN ,784,742 (94.64 %) ,83190,78946,58912 (74.62 %) ,20034 (25.38 %)
,TOTAL ,19574,19206 (98.12 %) ,1906222,1877318,1125786 (59.97 %) ,751532 (40.03 %)
