,,,"Date : Monday, 18 August 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,4,0,0,0,0,4,0
2,BATHINDA ,1,0,0,0,0,0,1
3,FARIDKOT ,1,0,0,0,0,0,1
4,FAZILKA ,1,0,0,0,0,0,1
5,FIROZPUR ,54,0,0,0,0,52,2
6,GURDASPUR ,2,0,0,0,0,0,2
7,HOSHIARPUR ,8,0,0,0,0,7,1
8,JALANDHAR ,28,0,0,0,0,20,8
9,KAPURTHALA ,4,0,0,0,0,0,4
10,MOGA ,1,0,0,0,0,0,1
11,PATIALA ,1,0,0,0,0,0,1
12,RUPNAGAR ,2,0,0,0,0,2,0
13,SHAHID BHAGAT ,3,0,0,0,0,0,3
14,TARAN TARAN ,1,0,0,0,0,0,1
,TOTAL ,111,0,0,0,0,85,26
