,,,"Date : Wednesday, 17 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1294 (99.62 %) ,151057,150867,110250 (73.08 %) ,40617 (26.92 %)
2,BARNALA ,302,298 (98.68 %) ,35127,34449,26608 (77.24 %) ,7841 (22.76 %)
3,BATHINDA ,689,647 (93.90 %) ,105159,98343,66900 (68.03 %) ,31443 (31.97 %)
4,FARIDKOT ,408,379 (92.89 %) ,45745,42809,31784 (74.25 %) ,11025 (25.75 %)
5,FATEHGARH SAHIB ,661,659 (99.70 %) ,39371,39201,29243 (74.60 %) ,9958 (25.40 %)
6,FAZILKA ,712,706 (99.16 %) ,98243,97475,74222 (76.14 %) ,23253 (23.86 %)
7,FIROZPUR ,852,842 (98.83 %) ,80294,79143,58251 (73.60 %) ,20892 (26.40 %)
8,GURDASPUR ,1569,1533 (97.71 %) ,91006,89262,64621 (72.39 %) ,24641 (27.61 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,79481 (72.10 %) ,30754 (27.90 %)
10,JALANDHAR ,1435,1430 (99.65 %) ,130796,130329,101053 (77.54 %) ,29276 (22.46 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,39465 (72.55 %) ,14933 (27.45 %)
12,LUDHIANA ,1581,1507 (95.32 %) ,249352,239223,161904 (67.68 %) ,77319 (32.32 %)
13,MALERKOTLA ,293,289 (98.63 %) ,26943,26774,20316 (75.88 %) ,6458 (24.12 %)
14,MANSA ,496,496 (100 %) ,58325,58325,42812 (73.40 %) ,15513 (26.60 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,51483 (75.18 %) ,17001 (24.82 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,24275 (76.06 %) ,7639 (23.94 %)
17,PATIALA ,1340,1314 (98.06 %) ,123336,121500,90087 (74.15 %) ,31413 (25.85 %)
18,RUPNAGAR ,835,792 (94.85 %) ,46150,44219,35255 (79.73 %) ,8964 (20.27 %)
19,S.A.S NAGAR ,659,653 (99.09 %) ,89812,88898,68319 (76.85 %) ,20579 (23.15 %)
20,SANGRUR ,754,739 (98.01 %) ,71187,70201,52992 (75.49 %) ,17209 (24.51 %)
21,SHAHID BHAGAT SINGH ,652,650 (99.69 %) ,44295,44242,33887 (76.59 %) ,10355 (23.41 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,50587 (70.51 %) ,21154 (29.49 %)
23,TARAN TARAN ,784,727 (92.73 %) ,83190,77890,62087 (79.71 %) ,15803 (20.29 %)
,TOTAL ,19574,19207 (98.13 %) ,1906222,1869922,1375882 (73.58 %) ,494040 (26.42 %)
