,,,"Date : Tuesday, 09 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1018 (78.37 %) ,151057,124206,71455 (57.53 %) ,52751 (42.47 %)
2,BARNALA ,302,302 (100 %) ,35127,35127,24427 (69.54 %) ,10700 (30.46 %)
3,BATHINDA ,689,673 (97.68 %) ,105159,102430,64453 (62.92 %) ,37977 (37.08 %)
4,FARIDKOT ,408,405 (99.26 %) ,45745,45121,31062 (68.84 %) ,14059 (31.16 %)
5,FATEHGARH SAHIB ,661,658 (99.55 %) ,39371,39122,28770 (73.54 %) ,10352 (26.46 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,64357 (65.51 %) ,33886 (34.49 %)
7,FIROZPUR ,852,842 (98.83 %) ,80294,79630,50652 (63.61 %) ,28978 (36.39 %)
8,GURDASPUR ,1569,1514 (96.49 %) ,91006,88581,55057 (62.15 %) ,33524 (37.85 %)
9,HOSHIARPUR ,1747,53 (3.03 %) ,110235,5066,1682 (33.20 %) ,3384 (66.80 %)
10,JALANDHAR ,1435,1427 (99.44 %) ,130796,130106,89017 (68.42 %) ,41089 (31.58 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,34465 (63.36 %) ,19933 (36.64 %)
12,LUDHIANA ,1581,1549 (97.98 %) ,249352,246221,148063 (60.13 %) ,98158 (39.87 %)
13,MALERKOTLA ,293,291 (99.32 %) ,26943,26891,18364 (68.29 %) ,8527 (31.71 %)
14,MANSA ,496,496 (100 %) ,58325,58325,39698 (68.06 %) ,18627 (31.94 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,45983 (67.14 %) ,22501 (32.86 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,20001 (62.67 %) ,11913 (37.33 %)
17,PATIALA ,1340,1305 (97.39 %) ,123336,121297,82309 (67.86 %) ,38988 (32.14 %)
18,RUPNAGAR ,835,830 (99.40 %) ,46150,45900,35519 (77.38 %) ,10381 (22.62 %)
19,S.A.S NAGAR ,659,657 (99.70 %) ,89812,89320,64965 (72.73 %) ,24355 (27.27 %)
20,SANGRUR ,754,736 (97.61 %) ,71187,69611,43032 (61.82 %) ,26579 (38.18 %)
21,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,32329 (72.99 %) ,11961 (27.01 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,45349 (63.21 %) ,26392 (36.79 %)
23,TARAN TARAN ,784,720 (91.84 %) ,83190,76806,54254 (70.64 %) ,22552 (29.36 %)
,TOTAL ,19574,17344 (88.61 %) ,1906222,1752830,1145263 (65.34 %) ,607567 (34.66 %)
