,,,"Date : Thursday, 11 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1101 (84.76 %) ,151057,130729,93679 (71.66 %) ,37050 (28.34 %)
2,BARNALA ,302,302 (100 %) ,35127,35127,26401 (75.16 %) ,8726 (24.84 %)
3,BATHINDA ,689,660 (95.79 %) ,105159,100781,68477 (67.95 %) ,32304 (32.05 %)
4,FARIDKOT ,408,387 (94.85 %) ,45745,43425,32389 (74.59 %) ,11036 (25.41 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,30021 (76.26 %) ,9345 (23.74 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,72404 (73.70 %) ,25839 (26.30 %)
7,FIROZPUR ,852,845 (99.18 %) ,80294,79834,57016 (71.42 %) ,22818 (28.58 %)
8,GURDASPUR ,1569,1534 (97.77 %) ,91006,89530,63717 (71.17 %) ,25813 (28.83 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,79349 (71.98 %) ,30886 (28.02 %)
10,JALANDHAR ,1435,1430 (99.65 %) ,130796,130329,101275 (77.71 %) ,29054 (22.29 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,39127 (71.93 %) ,15271 (28.07 %)
12,LUDHIANA ,1581,1546 (97.79 %) ,249352,243315,166167 (68.29 %) ,77148 (31.71 %)
13,MALERKOTLA ,293,288 (98.29 %) ,26943,26596,19784 (74.39 %) ,6812 (25.61 %)
14,MANSA ,496,496 (100 %) ,58325,58325,42247 (72.43 %) ,16078 (27.57 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,50002 (73.01 %) ,18482 (26.99 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,23816 (74.63 %) ,8098 (25.37 %)
17,PATIALA ,1340,1312 (97.91 %) ,123336,120691,89267 (73.96 %) ,31424 (26.04 %)
18,RUPNAGAR ,835,827 (99.04 %) ,46150,45613,37139 (81.42 %) ,8474 (18.58 %)
19,S.A.S NAGAR ,659,658 (99.85 %) ,89812,89737,71164 (79.30 %) ,18573 (20.70 %)
20,SANGRUR ,754,734 (97.35 %) ,71187,69607,46992 (67.51 %) ,22615 (32.49 %)
21,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,33547 (75.74 %) ,10743 (24.26 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,50557 (70.47 %) ,21184 (29.53 %)
23,TARAN TARAN ,784,716 (91.33 %) ,83190,77352,60864 (78.68 %) ,16488 (21.32 %)
,TOTAL ,19574,19111 (97.63 %) ,1906222,1859662,1355401 (72.88 %) ,504261 (27.12 %)
