,,,"Date : Thursday, 21 August 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,LUDHIANA ,1581,1571 (99.37 %) ,249352,248435,170372 (68.58 %) ,78063 (31.42 %)
2,AMRITSAR ,1299,1297 (99.85 %) ,151057,150927,116086 (76.92 %) ,34841 (23.08 %)
3,JALANDHAR ,1435,1430 (99.65 %) ,130796,130329,102697 (78.80 %) ,27632 (21.20 %)
4,PATIALA ,1340,1328 (99.10 %) ,123336,122468,89997 (73.49 %) ,32471 (26.51 %)
5,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,81137 (73.60 %) ,29098 (26.40 %)
6,BATHINDA ,689,676 (98.11 %) ,105159,102708,68936 (67.12 %) ,33772 (32.88 %)
7,FAZILKA ,712,712 (100 %) ,98243,98243,75525 (76.88 %) ,22718 (23.12 %)
8,GURDASPUR ,1569,1564 (99.68 %) ,91006,90574,68751 (75.91 %) ,21823 (24.09 %)
9,S.A.S NAGAR ,659,657 (99.70 %) ,89812,89359,69860 (78.18 %) ,19499 (21.82 %)
10,TARAN TARAN ,784,759 (96.81 %) ,83190,80811,64561 (79.89 %) ,16250 (20.11 %)
11,FIROZPUR ,852,850 (99.77 %) ,80294,80051,58505 (73.08 %) ,21546 (26.92 %)
12,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,49808 (69.43 %) ,21933 (30.57 %)
13,SANGRUR ,754,747 (99.07 %) ,71187,70574,52454 (74.32 %) ,18120 (25.68 %)
14,MOGA ,607,606 (99.84 %) ,68546,68484,50873 (74.28 %) ,17611 (25.72 %)
15,MANSA ,496,496 (100 %) ,58325,58325,42206 (72.36 %) ,16119 (27.64 %)
16,KAPURTHALA ,800,800 (100 %) ,54398,54398,40150 (73.81 %) ,14248 (26.19 %)
17,RUPNAGAR ,835,822 (98.44 %) ,46150,45576,36711 (80.55 %) ,8865 (19.45 %)
18,FARIDKOT ,408,403 (98.77 %) ,45745,45298,33725 (74.45 %) ,11573 (25.55 %)
19,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,33747 (76.20 %) ,10543 (23.80 %)
20,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,29894 (75.94 %) ,9472 (24.06 %)
21,BARNALA ,302,302 (100 %) ,35127,35127,26911 (76.61 %) ,8216 (23.39 %)
22,PATHANKOT ,543,543 (100 %) ,31914,31914,24108 (75.54 %) ,7806 (24.46 %)
23,MALERKOTLA ,293,293 (100 %) ,26943,26943,20088 (74.56 %) ,6855 (25.44 %)
,TOTAL ,19574,19470 (99.47 %) ,1906222,1896176,1407102 (74.21 %) ,489074 (25.79 %)
