,,,"Date : Tuesday, 16 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,51,0,0,0,0,29,22
2,BATHINDA ,1,0,0,0,0,0,1
3,FAZILKA ,20,0,0,0,0,17,3
4,FIROZPUR ,14,0,0,0,0,7,7
5,GURDASPUR ,30,9,0,0,0,7,14
6,HOSHIARPUR ,3,0,0,0,0,1,2
7,JALANDHAR ,5,0,0,0,0,0,5
8,KAPURTHALA ,12,0,0,0,0,8,4
9,MOGA ,1,0,0,0,0,0,1
10,PATHANKOT ,1,0,0,0,0,0,1
11,PATIALA ,2,0,0,0,0,0,2
12,RUPNAGAR ,1,0,0,0,0,1,0
13,SHAHID BHAGAT ,5,0,0,0,0,2,3
14,TARAN TARAN ,1,0,0,0,0,1,0
,TOTAL ,147,9,0,0,0,73,65
