,,,"Date : Saturday, 23 August 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1271 (97.84 %) ,151057,147300,109598 (74.40 %) ,37702 (25.60 %)
2,BARNALA ,302,297 (98.34 %) ,35127,34451,25881 (75.12 %) ,8570 (24.88 %)
3,BATHINDA ,689,632 (91.73 %) ,105159,95721,61131 (63.86 %) ,34590 (36.14 %)
4,FARIDKOT ,408,377 (92.40 %) ,45745,42671,30620 (71.76 %) ,12051 (28.24 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,28920 (73.46 %) ,10446 (26.54 %)
6,FAZILKA ,712,707 (99.30 %) ,98243,97755,73768 (75.46 %) ,23987 (24.54 %)
7,FIROZPUR ,852,829 (97.30 %) ,80294,77957,55796 (71.57 %) ,22161 (28.43 %)
8,GURDASPUR ,1569,1539 (98.09 %) ,91006,89456,66093 (73.88 %) ,23363 (26.12 %)
9,HOSHIARPUR ,1747,1738 (99.48 %) ,110235,109658,77162 (70.37 %) ,32496 (29.63 %)
10,JALANDHAR ,1435,1422 (99.09 %) ,130796,129876,98497 (75.84 %) ,31379 (24.16 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,38696 (71.13 %) ,15702 (28.87 %)
12,LUDHIANA ,1581,1502 (95.00 %) ,249352,240105,147671 (61.50 %) ,92434 (38.50 %)
13,MALERKOTLA ,293,290 (98.98 %) ,26943,26727,19122 (71.55 %) ,7605 (28.45 %)
14,MANSA ,496,472 (95.16 %) ,58325,56162,40488 (72.09 %) ,15674 (27.91 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,48826 (71.30 %) ,19658 (28.70 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,21252 (66.59 %) ,10662 (33.41 %)
17,PATIALA ,1340,1288 (96.12 %) ,123336,120242,84581 (70.34 %) ,35661 (29.66 %)
18,RUPNAGAR ,835,785 (94.01 %) ,46150,43731,34510 (78.91 %) ,9221 (21.09 %)
19,S.A.S NAGAR ,659,649 (98.48 %) ,89812,88185,64977 (73.68 %) ,23208 (26.32 %)
20,SANGRUR ,754,733 (97.21 %) ,71187,69578,51097 (73.44 %) ,18481 (26.56 %)
21,SHAHID BHAGAT SINGH ,652,642 (98.47 %) ,44295,43695,31408 (71.88 %) ,12287 (28.12 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,47457 (66.15 %) ,24284 (33.85 %)
23,TARAN TARAN ,784,722 (92.09 %) ,83190,77463,60002 (77.46 %) ,17461 (22.54 %)
,TOTAL ,19574,19060 (97.37 %) ,1906222,1856636,1317553 (70.96 %) ,539083 (29.04 %)
