,,,"Date : Wednesday, 10 September 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,59,0,0,0,0,48,11
2,BARNALA ,3,0,0,0,0,3,0
3,FARIDKOT ,1,0,0,0,0,0,1
4,FAZILKA ,35,0,0,0,0,31,4
5,FIROZPUR ,29,0,0,0,0,23,6
6,GURDASPUR ,70,2,0,0,1,47,20
7,HOSHIARPUR ,21,0,0,0,0,10,11
8,JALANDHAR ,47,0,0,0,0,36,11
9,KAPURTHALA ,36,0,0,0,0,25,11
10,LUDHIANA ,4,0,0,0,0,3,1
11,MANSA ,8,0,0,0,0,6,2
12,MOGA ,3,0,0,0,0,2,1
13,PATHANKOT ,3,0,0,0,0,1,2
14,PATIALA ,30,0,0,0,0,24,6
15,RUPNAGAR ,4,0,0,0,0,2,2
16,S.A.S NAGAR ,1,0,0,0,0,0,1
17,SANGRUR ,70,0,0,0,0,55,15
18,SHAHID BHAGAT ,14,0,0,0,0,4,10
,TOTAL ,438,2,0,0,1,320,115
