,,,"Date : Friday, 12 September 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1074 (82.68 %) ,151057,128710,85400 (66.35 %) ,43310 (33.65 %)
2,BARNALA ,302,301 (99.67 %) ,35127,35073,25914 (73.89 %) ,9159 (26.11 %)
3,BATHINDA ,689,623 (90.42 %) ,105159,97696,64500 (66.02 %) ,33196 (33.98 %)
4,FARIDKOT ,408,241 (59.07 %) ,45745,27288,18231 (66.81 %) ,9057 (33.19 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,29577 (75.13 %) ,9789 (24.87 %)
6,FAZILKA ,712,681 (95.65 %) ,98243,94412,20752 (21.98 %) ,73660 (78.02 %)
7,FIROZPUR ,852,835 (98.00 %) ,80294,78607,53200 (67.68 %) ,25407 (32.32 %)
8,GURDASPUR ,1569,1514 (96.49 %) ,91006,88493,60234 (68.07 %) ,28259 (31.93 %)
9,HOSHIARPUR ,1747,1739 (99.54 %) ,110235,109965,76005 (69.12 %) ,33960 (30.88 %)
10,JALANDHAR ,1435,1419 (98.89 %) ,130796,129593,89233 (68.86 %) ,40360 (31.14 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,37475 (68.89 %) ,16923 (31.11 %)
12,LUDHIANA ,1581,1495 (94.56 %) ,249352,235612,154102 (65.40 %) ,81510 (34.60 %)
13,MALERKOTLA ,293,290 (98.98 %) ,26943,26845,18070 (67.31 %) ,8775 (32.69 %)
14,MANSA ,496,212 (42.74 %) ,58325,25206,18065 (71.67 %) ,7141 (28.33 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,42710 (62.36 %) ,25774 (37.64 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,22767 (71.34 %) ,9147 (28.66 %)
17,PATIALA ,1340,1277 (95.30 %) ,123336,119777,78080 (65.19 %) ,41697 (34.81 %)
18,RUPNAGAR ,835,829 (99.28 %) ,46150,45820,36163 (78.92 %) ,9657 (21.08 %)
19,S.A.S NAGAR ,659,655 (99.39 %) ,89812,89259,69221 (77.55 %) ,20038 (22.45 %)
20,SANGRUR ,754,685 (90.85 %) ,71187,63577,39670 (62.40 %) ,23907 (37.60 %)
21,SHAHID BHAGAT SINGH ,652,647 (99.23 %) ,44295,44031,26852 (60.98 %) ,17179 (39.02 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,48433 (67.51 %) ,23308 (32.49 %)
23,TARAN TARAN ,784,655 (83.55 %) ,83190,71258,53483 (75.06 %) ,17775 (24.94 %)
,TOTAL ,19574,18337 (93.68 %) ,1906222,1777125,1168137 (65.73 %) ,608988 (34.27 %)
