,,,"Date : Friday, 22 August 2025",,,,
S.No,District,Total School,Reported School,Total Enrolment,Reported School Enrolment,Meals Served,Meals not Served
1,AMRITSAR ,1299,1292 (99.46 %) ,151057,150651,117150 (77.76 %) ,33501 (22.24 %)
2,BARNALA ,302,302 (100 %) ,35127,35127,26936 (76.68 %) ,8191 (23.32 %)
3,BATHINDA ,689,677 (98.26 %) ,105159,103255,69322 (67.14 %) ,33933 (32.86 %)
4,FARIDKOT ,408,404 (99.02 %) ,45745,45386,33777 (74.42 %) ,11609 (25.58 %)
5,FATEHGARH SAHIB ,661,660 (99.85 %) ,39371,39366,29438 (74.78 %) ,9928 (25.22 %)
6,FAZILKA ,712,712 (100 %) ,98243,98243,75600 (76.95 %) ,22643 (23.05 %)
7,FIROZPUR ,852,843 (98.94 %) ,80294,79732,58332 (73.16 %) ,21400 (26.84 %)
8,GURDASPUR ,1569,1558 (99.30 %) ,91006,90391,69148 (76.50 %) ,21243 (23.50 %)
9,HOSHIARPUR ,1747,1747 (100 %) ,110235,110235,80096 (72.66 %) ,30139 (27.34 %)
10,JALANDHAR ,1435,1430 (99.65 %) ,130796,130329,101191 (77.64 %) ,29138 (22.36 %)
11,KAPURTHALA ,800,800 (100 %) ,54398,54398,39566 (72.73 %) ,14832 (27.27 %)
12,LUDHIANA ,1581,1560 (98.67 %) ,249352,247176,167218 (67.65 %) ,79958 (32.35 %)
13,MALERKOTLA ,293,291 (99.32 %) ,26943,26919,20047 (74.47 %) ,6872 (25.53 %)
14,MANSA ,496,496 (100 %) ,58325,58325,43087 (73.87 %) ,15238 (26.13 %)
15,MOGA ,607,606 (99.84 %) ,68546,68484,50306 (73.46 %) ,18178 (26.54 %)
16,PATHANKOT ,543,543 (100 %) ,31914,31914,24353 (76.31 %) ,7561 (23.69 %)
17,PATIALA ,1340,1330 (99.25 %) ,123336,122655,90744 (73.98 %) ,31911 (26.02 %)
18,RUPNAGAR ,835,831 (99.52 %) ,46150,45932,36542 (79.56 %) ,9390 (20.44 %)
19,S.A.S NAGAR ,659,657 (99.70 %) ,89812,89346,69331 (77.60 %) ,20015 (22.40 %)
20,SANGRUR ,754,746 (98.94 %) ,71187,70726,53474 (75.61 %) ,17252 (24.39 %)
21,SHAHID BHAGAT SINGH ,652,651 (99.85 %) ,44295,44290,33232 (75.03 %) ,11058 (24.97 %)
22,SRI MUKTSAR SAHIB ,556,556 (100 %) ,71741,71741,50157 (69.91 %) ,21584 (30.09 %)
23,TARAN TARAN ,784,735 (93.75 %) ,83190,78802,61811 (78.44 %) ,16991 (21.56 %)
,TOTAL ,19574,19427 (99.25 %) ,1906222,1893423,1400858 (73.99 %) ,492565 (26.01 %)
